away,cross,home,ones,twos,year
Netherlands,3.22,Serbia and Montenegro,4.15,1.94,2006
Ivory Coast,3.59,Argentina,1.60,6.43,2006
Sweden,5.15,Trinidad & Tobago,12.34,1.29,2006
Paraguay,3.42,England,1.66,5.85,2006
Ecuador,3.25,Poland,1.90,3.75,2006
Costa Rica,5.17,Germany,1.25,12.23,2006
Norway,3.87,Czech Republic,1.42,7.88,2006
Spain,3.29,Slovakia,3.34,2.11,2006
Switzerland,3.44,Turkey,1.67,5.00,2006
Trinidad & Tobago,3.15,Bahrain,2.10,3.35,2006
Uruguay,3.24,Australia,2.15,3.14,2006
Bolivia,3.50,Peru,1.60,5.00,2006
Venezuela,6.00,Brazil,1.14,9.99,2006
Colombia,3.50,Paraguay,2.40,2.45,2006
Costa Rica,3.61,Guatemala,1.57,4.93,2006
Mexico,3.45,Trinidad & Tobago,2.55,2.31,2006
Panama,5.33,USA,1.18,9.99,2006
Uzbekistan,3.13,Bahrain,2.09,3.33,2006
Poland,3.54,England,1.56,5.85,2006
Cyprus,9.50,France,1.03,9.99,2006
Switzerland,3.21,Ireland,2.10,3.24,2006
Azerbaijan,4.77,Wales,1.26,9.74,2006
Belgium,3.14,Lithuania,2.78,2.32,2006
Bosnia & Herzegovina,3.86,Serbia and Montenegro,1.46,6.14,2006
Northern Ireland,3.80,Austria,1.46,6.43,2006
Norway,3.23,Belarus,2.48,2.61,2006
Moldova,6.72,Italy,1.12,9.99,2006
Latvia,5.11,Portugal,1.22,9.94,2006
Spain,9.50,San Marino,9.99,1.02,2006
Russia,3.16,Slovakia,2.53,2.53,2006
Scotland,3.35,Slovenia,1.84,3.99,2006
Estonia,4.67,Luxembourg,9.70,1.25,2006
Croatia,3.08,Hungary,3.30,2.08,2006
FYR Macedonia,7.25,Netherlands,1.10,9.99,2006
Iceland,7.17,Sweden,1.11,9.99,2006
Bulgaria,4.42,Malta,8.99,1.29,2006
Turkey,5.56,Albania,9.36,1.20,2006
Georgia,5.55,Greece,1.20,9.87,2006
Denmark,6.83,Kazakhstan,9.99,1.12,2006
Czech Republic,3.95,Finland,6.92,1.41,2006
Armenia,3.15,Andorra,3.17,2.12,2006
USA,3.17,Costa Rica,1.97,2.74,2006
Guatemala,5.08,Mexico,1.18,9.08,2006
Trinidad & Tobago,3.18,Panama,2.97,1.99,2006
Chile,3.44,Colombia,1.46,4.38,2006
Uruguay,2.93,Ecuador,1.92,3.16,2006
Paraguay,3.24,Venezuela,2.63,2.12,2006
Liechtenstein,9.66,Portugal,1.02,9.99,2006
Morocco,3.21,Tunisia,1.84,3.33,2006
Slovenia,4.31,Italy,1.28,8.19,2006
Spain,3.27,Belgium,3.98,1.72,2006
France,3.09,Switzerland,3.87,1.80,2006
Netherlands,3.06,Czech Republic,2.31,2.63,2006
Sweden,3.08,Croatia,2.12,2.92,2006
Moldova,5.92,Norway,1.18,9.99,2006
Faroe Islands,8.33,Israel,1.06,9.99,2006
San Marino,8.83,Bosnia & Herzegovina,1.04,9.99,2006
Greece,3.62,Denmark,1.73,3.61,2006
Ireland,4.92,Cyprus,9.49,1.22,2006
Serbia and Montenegro,3.72,Lithuania,6.17,1.41,2006
Albania,4.88,Ukraine,1.25,9.37,2006
Kazakhstan,4.31,Georgia,1.31,8.87,2006
Hungary,3.41,Bulgaria,1.60,4.39,2006
Austria,6.06,England,1.16,9.99,2006
Luxembourg,9.99,Russia,1.01,9.99,2006
Estonia,4.99,Slovakia,1.23,9.62,2006
