away,cross,home,ones,twos,year
Costa Rica,4.06,Italy,1.57,6.59,2014
Greece,3.40,Japan,2.40,3.05,2014
England,3.84,Uruguay,3.82,1.94,2014
Ivory Coast,3.56,Colombia,2.03,3.79,2014
Croatia,3.92,Cameroon,5.50,1.67,2014
Chile,4.48,Spain,1.58,5.61,2014
Netherlands,6.60,Australia,13.23,1.24,2014
South Korea,3.63,Russia,1.82,4.70,2014
Mexico,5.32,Brazil,1.35,9.41,2014
Algeria,5.28,Belgium,1.33,10.49,2014
USA,3.45,Ghana,2.41,3.00,2014
Nigeria,3.51,Iran,4.83,1.83,2014
Portugal,3.53,Germany,2.09,3.68,2014
Bosnia & Herzegovina,5.61,Argentina,1.30,10.90,2014
Honduras,6.02,France,1.27,12.44,2014
Ecuador,3.24,Switzerland,2.43,3.15,2014
Japan,3.34,Ivory Coast,2.72,2.71,2014
Italy,2.99,England,2.51,3.31,2014
Costa Rica,4.29,Uruguay,1.44,9.00,2014
Greece,3.30,Colombia,1.86,5.15,2014
Australia,4.48,Chile,1.43,8.91,2014
Netherlands,3.39,Spain,1.84,5.15,2014
Cameroon,3.17,Mexico,2.18,3.80,2014
Croatia,5.18,Brazil,1.32,11.97,2014
Jordan,17.60,Uruguay,1.02,52.12,2014
Mexico,4.38,New Zealand,7.55,1.43,2014
Ukraine,4.52,France,1.43,8.31,2014
Portugal,3.34,Sweden,2.91,2.52,2014
Iceland,4.87,Croatia,1.33,11.60,2014
Greece,3.23,Romania,2.38,3.22,2014
Burkina Faso,3.89,Algeria,1.53,6.56,2014
Ghana,3.41,Egypt,2.13,3.29,2014
Tunisia,3.56,Cameroon,1.62,6.10,2014
Ivory Coast,3.67,Senegal,5.10,1.69,2014
Ethiopia,6.52,Nigeria,1.18,16.23,2014
Romania,3.18,Greece,1.99,4.42,2014
Sweden,3.93,Portugal,1.60,6.22,2014
France,3.08,Ukraine,3.54,2.30,2014
Croatia,3.33,Iceland,4.36,1.95,2014
New Zealand,7.55,Mexico,1.15,19.99,2014
Uruguay,6.68,Jordan,16.07,1.19,2014
Bolivia,4.04,Peru,1.54,6.20,2014
Mexico,3.34,Costa Rica,4.17,1.93,2014
Honduras,3.13,Jamaica,4.51,1.94,2014
USA,3.22,Panama,2.77,2.58,2014
Ecuador,2.16,Chile,1.94,12.08,2014
Colombia,3.36,Paraguay,3.21,2.23,2014
Argentina,3.63,Uruguay,1.92,3.88,2014
Wales,7.21,Belgium,1.18,15.80,2014
Poland,5.55,England,1.30,10.33,2014
Finland,6.59,France,1.21,14.11,2014
Moldova,4.85,Montenegro,1.35,9.52,2014
Ukraine,26.71,San Marino,71.29,1.01,2014
Croatia,3.34,Scotland,3.56,2.13,2014
Georgia,15.21,Spain,1.05,41.43,2014
Austria,6.08,Faroe Islands,10.59,1.26,2014
Kazakhstan,5.81,Ireland,1.24,13.53,2014
Armenia,5.57,Italy,1.29,10.22,2014
Germany,4.03,Sweden,5.65,1.61,2014
FYR Macedonia,4.54,Serbia,1.38,9.51,2014
USA,3.45,Ghana,2.41,3.00,2014
Nigeria,3.51,Iran,4.83,1.83,2014
Portugal,3.53,Germany,2.09,3.68,2014
Bosnia & Herzegovina,5.61,Argentina,1.30,10.90,2014
Honduras,6.02,France,1.27,12.44,2014
Ecuador,3.24,Switzerland,2.43,3.15,2014
Japan,3.34,Ivory Coast,2.72,2.71,2014
Italy,2.99,England,2.51,3.31,2014
Costa Rica,4.29,Uruguay,1.44,9.00,2014
Greece,3.30,Colombia,1.86,5.15,2014
Australia,4.48,Chile,1.43,8.91,2014
Netherlands,3.39,Spain,1.84,5.15,2014
Cameroon,3.17,Mexico,2.18,3.80,2014
Croatia,5.18,Brazil,1.32,11.97,2014
Jordan,17.60,Uruguay,1.02,52.12,2014
Mexico,4.38,New Zealand,7.55,1.43,2014
Ukraine,4.52,France,1.43,8.31,2014
Portugal,3.34,Sweden,2.91,2.52,2014
Iceland,4.87,Croatia,1.33,11.60,2014
Greece,3.23,Romania,2.38,3.22,2014
Burkina Faso,3.89,Algeria,1.53,6.56,2014
Ghana,3.41,Egypt,2.13,3.29,2014
Tunisia,3.56,Cameroon,1.62,6.10,2014
Ivory Coast,3.67,Senegal,5.10,1.69,2014
Ethiopia,6.52,Nigeria,1.18,16.23,2014
Romania,3.18,Greece,1.99,4.42,2014
Sweden,3.93,Portugal,1.60,6.22,2014
France,3.08,Ukraine,3.54,2.30,2014
Croatia,3.33,Iceland,4.36,1.95,2014
New Zealand,7.55,Mexico,1.15,19.99,2014
Uruguay,6.68,Jordan,16.07,1.19,2014
Bolivia,4.04,Peru,1.54,6.20,2014
Mexico,3.34,Costa Rica,4.17,1.93,2014
Honduras,3.13,Jamaica,4.51,1.94,2014
USA,3.22,Panama,2.77,2.58,2014
Ecuador,2.16,Chile,1.94,12.08,2014
Colombia,3.36,Paraguay,3.21,2.23,2014
Argentina,3.63,Uruguay,1.92,3.88,2014
Wales,7.21,Belgium,1.18,15.80,2014
Poland,5.55,England,1.30,10.33,2014
Finland,6.59,France,1.21,14.11,2014
Moldova,4.85,Montenegro,1.35,9.52,2014
Ukraine,26.71,San Marino,71.29,1.01,2014
Croatia,3.34,Scotland,3.56,2.13,2014
Georgia,15.21,Spain,1.05,41.43,2014
Austria,6.08,Faroe Islands,10.59,1.26,2014
Kazakhstan,5.81,Ireland,1.24,13.53,2014
Armenia,5.57,Italy,1.29,10.22,2014
Germany,4.03,Sweden,5.65,1.61,2014
FYR Macedonia,4.54,Serbia,1.38,9.51,2014
Czech Republic,3.41,Bulgaria,2.22,3.27,2014
Malta,19.67,Denmark,1.03,52.00,2014
Slovakia,3.37,Latvia,3.56,2.10,2014
Andorra,21.93,Hungary,1.01,56.43,2014
Iceland,3.49,Norway,2.49,2.76,2014
Estonia,7.95,Romania,1.14,18.29,2014
Slovenia,3.48,Switzerland,2.09,3.48,2014
Netherlands,3.66,Turkey,2.67,2.47,2014
Russia,4.80,Azerbaijan,11.32,1.32,2014
Liechtenstein,20.00,Greece,1.02,52.71,2014
Northern Ireland,4.20,Israel,1.50,6.66,2014
Bosnia & Herzegovina,6.23,Lithuania,13.24,1.23,2014
Luxembourg,19.43,Portugal,1.02,52.71,2014
Albania,3.25,Cyprus,3.20,2.31,2014
Egypt,3.41,Ghana,1.74,5.11,2014
Cameroon,2.99,Tunisia,2.59,2.86,2014
Nigeria,3.39,Ethiopia,5.36,1.72,2014
Senegal,4.86,Ivory Coast,1.32,10.09,2014
Algeria,3.03,Burkina Faso,2.52,2.97,2014
Panama,4.95,Mexico,1.30,11.44,2014
Peru,6.34,Argentina,1.21,14.67,2014
Jamaica,5.41,USA,1.26,12.99,2014
Chile,3.34,Colombia,1.97,4.06,2014
Uruguay,3.25,Ecuador,2.23,3.40,2014
Paraguay,3.42,Venezuela,1.96,3.95,2014
Costa Rica,3.48,Honduras,1.75,4.91,2014
Belarus,13.68,Spain,1.07,37.84,2014
Israel,7.55,Portugal,1.16,17.80,2014
Montenegro,5.30,England,1.29,12.25,2014
Ireland,8.11,Germany,1.16,17.15,2014
Slovakia,3.61,Greece,1.68,5.57,2014
Cyprus,4.85,Iceland,1.33,10.94,2014
Norway,3.32,Slovenia,2.56,2.80,2014
Austria,3.68,Sweden,1.78,4.71,2014
FYR Macedonia,3.18,Wales,2.53,2.94,2014
Switzerland,3.45,Albania,4.59,1.84,2014
Romania,17.29,Andorra,47.14,1.03,2014
Turkey,4.79,Estonia,9.19,1.37,2014
Russia,11.57,Luxembourg,27.43,1.08,2014
Hungary,5.50,Netherlands,1.32,8.93,2014
Italy,3.41,Denmark,2.42,2.94,2014
Liechtenstein,20.71,Bosnia & Herzegovina,1.02,59.43,2014
Poland,3.59,Ukraine,1.80,4.54,2014
Czech Republic,6.67,Malta,13.08,1.22,2014
Kazakhstan,3.36,Faroe Islands,3.90,2.02,2014
Northern Ireland,3.07,Azerbaijan,2.98,2.57,2014
Belgium,3.20,Croatia,2.48,3.02,2014
San Marino,12.88,Moldova,1.06,32.45,2014
Latvia,3.25,Lithuania,2.19,3.46,2014
Bulgaria,3.35,Armenia,3.30,2.24,2014
Argentina,3.54,Paraguay,4.33,1.86,2014
Panama,3.46,Honduras,1.69,5.61,2014
Mexico,3.07,USA,2.44,3.09,2014
Costa Rica,3.06,Jamaica,3.19,2.40,2014
Peru,3.25,Venezuela,2.12,3.59,2014
Colombia,3.33,Uruguay,2.06,3.72,2014
Ecuador,3.43,Bolivia,4.00,1.94,2014
Mali,3.66,Algeria,1.67,5.04,2014
France,3.80,Belarus,6.75,1.56,2014
Albania,3.22,Iceland,2.25,3.41,2014
Ireland,3.56,Austria,1.89,4.20,2014
Germany,24.25,Faroe Islands,73.17,1.01,2014
Latvia,5.48,Greece,1.27,13.03,2014
Czech Republic,3.67,Italy,1.63,6.24,2014
Poland,26.93,San Marino,98.00,1.01,2014
England,3.08,Ukraine,2.83,2.72,2014
Serbia,3.38,Wales,3.81,2.03,2014
Netherlands,27.50,Andorra,87.00,1.01,2014
Slovenia,3.42,Cyprus,4.18,1.93,2014
Scotland,3.23,FYR Macedonia,2.19,3.53,2014
Estonia,4.68,Hungary,1.38,8.73,2014
Northern Ireland,3.30,Luxembourg,3.64,2.12,2014
Bosnia & Herzegovina,3.29,Slovakia,3.04,2.40,2014
Bulgaria,4.91,Malta,10.21,1.34,2014
Turkey,3.31,Romania,2.31,3.18,2014
Finland,3.22,Georgia,2.58,2.84,2014
Switzerland,3.27,Norway,2.58,2.82,2014
Denmark,3.50,Armenia,3.29,2.17,2014
Sweden,5.19,Kazakhstan,10.18,1.32,2014
Liechtenstein,5.10,Lithuania,1.33,10.18,2014
Israel,5.06,Russia,1.33,10.25,2014
Guinea,3.97,Egypt,1.53,6.13,2014
Jordan,4.07,Uzbekistan,1.48,7.16,2014
Lesotho,5.43,Sudan,1.29,9.32,2014
D.R. Congo,3.20,Togo,2.08,3.64,2014
Rwanda,3.75,Benin,1.54,6.47,2014
Libya,3.80,Cameroon,1.50,7.06,2014
Namibia,3.44,Kenya,1.65,5.93,2014
Mozambique,3.39,Zimbabwe,1.74,4.99,2014
Uganda,3.51,Senegal,1.71,5.00,2014
Cape Verde,3.89,Tunisia,1.53,6.31,2014
Azerbaijan,4.95,Israel,1.32,11.36,2014
Morocco,4.75,Ivory Coast,1.37,7.58,2014
Tanzania,3.69,Gambia,1.62,5.68,2014
Equatorial Guinea,3.73,Sierra Leone,1.64,5.28,2014
Gabon,3.36,Burkina Faso,1.75,4.98,2014
Congo,3.08,Niger,3.09,2.37,2014
Liberia,3.71,Angola,1.55,6.44,2014
Malawi,6.35,Nigeria,1.19,15.70,2014
Botswana,4.87,South Africa,1.30,11.68,2014
Ethiopia,3.36,Central Africa,3.83,1.96,2014
Uruguay,3.27,Peru,2.93,2.43,2014
USA,3.06,Costa Rica,2.55,2.90,2014
Jamaica,3.41,Panama,1.75,5.08,2014
Honduras,4.72,Mexico,1.32,10.84,2014
Venezuela,4.91,Chile,1.33,9.72,2014
Bolivia,4.42,Paraguay,1.41,8.36,2014
Ecuador,4.00,Colombia,1.45,7.88,2014
Moldova,13.90,England,1.05,39.30,2014
Belgium,3.70,Scotland,5.23,1.70,2014
Austria,7.32,Germany,1.21,11.97,2014
Sweden,3.22,Ireland,2.75,2.67,2014
Bulgaria,4.50,Italy,1.39,9.11,2014
Greece,5.94,Liechtenstein,15.93,1.22,2014
Portugal,5.06,Northern Ireland,10.82,1.32,2014
Montenegro,3.46,Poland,1.87,4.49,2014
Croatia,3.16,Serbia,2.66,2.80,2014
Netherlands,7.17,Estonia,16.93,1.18,2014
Spain,6.39,Finland,15.10,1.21,2014
Albania,3.47,Slovenia,1.89,4.32,2014
Iceland,5.47,Switzerland,1.28,11.80,2014
Slovakia,3.94,Bosnia & Herzegovina,1.58,6.22,2014
France,4.63,Georgia,9.10,1.38,2014
Lithuania,3.19,Latvia,2.36,3.17,2014
Denmark,6.66,Malta,15.41,1.20,2014
Hungary,3.51,Romania,1.87,4.35,2014
Andorra,21.23,Turkey,1.02,58.02,2014
San Marino,32.13,Ukraine,1.01,88.33,2014
Wales,3.28,FYR Macedonia,2.11,3.71,2014
Cyprus,5.13,Norway,1.32,10.70,2014
Armenia,4.67,Czech Republic,1.41,7.94,2014
Zambia,3.71,Ghana,1.53,6.84,2014
Uzbekistan,2.99,Jordan,2.93,2.59,2014
Luxembourg,19.69,Russia,1.02,40.01,2014
Faroe Islands,4.39,Kazakhstan,1.40,9.04,2014
Russia,4.64,Northern Ireland,9.55,1.36,2014
Panama,3.61,Costa Rica,1.57,6.91,2014
Honduras,4.66,USA,1.36,9.18,2014
Oman,3.11,Jordan,2.33,3.21,2014
Iran,2.36,South Korea,2.26,4.57,2014
Qatar,4.95,Uzbekistan,1.29,11.35,2014
Iraq,6.52,Australia,1.19,15.12,2014
Benin,4.85,Mali,1.32,10.05,2014
Zimbabwe,6.28,Guinea,1.19,14.07,2014
Tunisia,3.30,Equatorial Guinea,3.55,2.06,2014
Senegal,3.42,Liberia,4.31,1.83,2014
Cameroon,3.03,D.R. Congo,3.25,2.34,2014
Algeria,3.80,Rwanda,6.42,1.54,2014
Ghana,5.99,Lesotho,13.35,1.21,2014
Egypt,3.82,Mozambique,7.05,1.50,2014
South Africa,3.14,Ethiopia,3.06,2.36,2014
Ivory Coast,4.28,Tanzania,7.41,1.43,2014
Gambia,5.49,Morocco,1.25,11.67,2014
Sierra Leone,3.48,Cape Verde,1.86,4.04,2014
Niger,4.04,Gabon,1.44,7.99,2014
Burkina Faso,2.96,Congo,2.40,3.19,2014
Central Africa,2.99,Botswana,2.40,3.14,2014
Angola,3.09,Uganda,2.06,3.88,2014
Sudan,5.73,Zambia,1.21,14.82,2014
Togo,3.35,Libya,1.90,4.10,2014
Nigeria,3.86,Namibia,7.51,1.48,2014
Kenya,3.52,Malawi,1.60,6.25,2014
Panama,4.36,USA,1.42,8.80,2014
Jamaica,3.71,Honduras,1.55,6.66,2014
Bolivia,6.45,Chile,1.19,15.02,2014
Uruguay,3.19,Venezuela,2.90,2.53,2014
Costa Rica,4.80,Mexico,1.32,10.07,2014
Argentina,3.31,Ecuador,2.38,2.96,2014
Peru,4.40,Colombia,1.40,8.55,2014
Armenia,5.64,Denmark,1.26,12.45,2014
Faroe Islands,17.01,Sweden,1.02,37.91,2014
Finland,3.18,Belarus,2.17,3.55,2014
Lebanon,6.77,Iran,1.16,17.17,2014
Japan,3.18,Iraq,3.51,2.14,2014
Uzbekistan,3.85,South Korea,1.54,6.51,2014
Jordan,4.46,Australia,1.37,8.16,2014
Rwanda,5.74,Mali,1.21,13.84,2014
Mozambique,4.40,Guinea,1.35,9.76,2014
Cameroon,2.98,Togo,2.99,2.50,2014
Algeria,3.19,Benin,3.43,2.16,2014
Burkina Faso,2.99,Niger,3.14,2.39,2014
Egypt,3.37,Zimbabwe,4.44,1.82,2014
Tanzania,4.11,Morocco,1.43,7.79,2014
Equatorial Guinea,3.91,Cape Verde,1.54,5.84,2014
Ivory Coast,3.94,Gambia,6.89,1.49,2014
Tunisia,3.11,Sierra Leone,3.20,2.30,2014
Cyprus,6.70,Switzerland,1.19,15.77,2014
Senegal,2.91,Angola,2.84,2.69,2014
Congo,3.60,Gabon,1.60,6.06,2014
South Africa,3.12,Central Africa,3.91,2.02,2014
Ethiopia,2.95,Botswana,2.33,3.31,2014
Liberia,3.51,Uganda,1.69,5.15,2014
Lesotho,8.20,Zambia,1.11,19.87,2014
Ecuador,3.31,Peru,2.07,3.64,2014
Mexico,3.36,Panama,4.56,1.84,2014
Honduras,3.34,Costa Rica,1.81,4.90,2014
USA,3.50,Jamaica,4.93,1.76,2014
Chile,3.26,Paraguay,2.47,2.89,2014
Colombia,3.45,Argentina,1.80,4.71,2014
Venezuela,3.51,Bolivia,1.82,4.47,2014
Russia,3.76,Portugal,1.66,5.45,2014
Slovenia,3.27,Iceland,2.73,2.62,2014
Sweden,3.29,Austria,2.57,2.75,2014
Serbia,4.00,Belgium,1.54,6.60,2014
Italy,3.08,Czech Republic,3.49,2.27,2014
Faroe Islands,11.54,Ireland,1.06,28.31,2014
Greece,3.56,Lithuania,5.48,1.70,2014
Norway,3.26,Albania,3.41,2.20,2014
Ukraine,3.16,Montenegro,2.68,2.76,2014
Scotland,4.95,Croatia,1.33,10.01,2014
Poland,4.43,Moldova,8.67,1.40,2014
Slovakia,5.28,Liechtenstein,13.54,1.27,2014
Ghana,3.63,Sudan,7.13,1.53,2014
Bosnia & Herzegovina,4.13,Latvia,7.14,1.49,2014
Malta,5.67,Armenia,1.25,12.36,2014
Luxembourg,3.71,Azerbaijan,1.59,6.50,2014
Belarus,3.35,Finland,2.24,3.17,2014
D.R. Congo,3.26,Libya,1.89,4.23,2014
Nigeria,3.34,Kenya,4.79,1.79,2014
Namibia,3.65,Malawi,1.53,6.82,2014
Mexico,3.71,Jamaica,6.24,1.59,2014
South Korea,4.97,Lebanon,10.20,1.31,2014
Iran,3.17,Qatar,3.30,2.25,2014
Iraq,3.12,Oman,2.46,2.96,2014
Australia,3.21,Japan,2.06,3.77,2014
USA,4.14,Mexico,1.49,6.97,2014
Jamaica,3.53,Costa Rica,1.68,5.50,2014
Honduras,3.09,Panama,2.34,3.22,2014
Colombia,3.39,Venezuela,3.84,2.01,2014
Uruguay,3.38,Chile,2.26,3.11,2014
Paraguay,3.90,Ecuador,1.55,6.60,2014
Argentina,3.37,Bolivia,3.93,2.00,2014
Spain,3.23,France,3.51,2.19,2014
England,3.27,Montenegro,4.11,2.00,2014
FYR Macedonia,6.28,Belgium,1.21,16.13,2014
Kazakhstan,22.29,Germany,1.01,64.57,2014
Austria,3.18,Ireland,2.43,3.08,2014
Italy,12.73,Malta,37.50,1.06,2014
Israel,3.11,Northern Ireland,2.94,2.58,2014
San Marino,25.58,Poland,1.01,75.33,2014
Croatia,3.70,Wales,5.52,1.67,2014
Romania,4.88,Netherlands,1.35,9.48,2014
Scotland,3.92,Serbia,1.53,7.03,2014
Benin,4.55,Algeria,1.33,9.96,2014
Bulgaria,3.72,Denmark,1.66,5.71,2014
Moldova,8.14,Ukraine,1.13,20.30,2014
Hungary,3.70,Turkey,1.70,5.23,2014
Portugal,5.57,Azerbaijan,13.68,1.26,2014
Andorra,7.16,Estonia,1.17,16.27,2014
Zimbabwe,6.45,Egypt,1.17,16.99,2014
Czech Republic,3.33,Armenia,3.78,2.06,2014
Japan,3.63,Jordan,5.37,1.67,2014
Lebanon,4.27,Uzbekistan,1.43,7.68,2014
Qatar,5.58,South Korea,1.24,12.21,2014
Oman,5.00,Australia,1.28,10.75,2014
Tahiti,4.49,New Caledonia,1.46,7.01,2014
New Zealand,5.05,Solomon Islands,7.20,1.34,2014
Cape Verde,3.02,Equatorial Guinea,2.65,2.75,2014
Sudan,6.35,Ghana,1.19,13.25,2014
Uganda,3.09,Liberia,2.54,2.83,2014
Libya,3.49,D.R. Congo,1.76,4.55,2014
Mali,3.19,Rwanda,3.50,2.11,2014
Botswana,4.09,Ethiopia,1.46,7.11,2014
Zambia,4.20,Lesotho,7.46,1.43,2014
Guinea,3.05,Mozambique,2.84,2.53,2014
Morocco,3.04,Tanzania,3.27,2.23,2014
Central Africa,4.21,South Africa,1.41,8.04,2014
Sierra Leone,4.69,Tunisia,1.32,9.76,2014
Niger,4.09,Burkina Faso,1.40,8.88,2014
Gambia,7.80,Ivory Coast,1.13,16.55,2014
Angola,3.54,Senegal,1.67,5.23,2014
Switzerland,3.94,Cyprus,6.87,1.53,2014
Malawi,3.03,Namibia,2.11,3.73,2014
Kenya,5.72,Nigeria,1.22,13.64,2014
Togo,3.89,Cameroon,1.52,6.38,2014
Gabon,3.06,Congo,2.39,3.06,2014
Solomon Islands,4.69,Tahiti,1.50,5.88,2014
Costa Rica,3.71,USA,1.64,5.50,2014
Chile,3.27,Peru,2.51,2.83,2014
Panama,3.23,Jamaica,2.12,3.57,2014
Venezuela,7.78,Argentina,1.14,17.78,2014
Paraguay,3.73,Uruguay,1.62,5.80,2014
Mexico,3.25,Honduras,3.33,2.19,2014
Bolivia,6.06,Colombia,1.22,14.28,2014
Georgia,8.73,France,1.12,21.58,2014
England,22.75,San Marino,68.50,1.01,2014
Wales,3.43,Scotland,1.97,3.97,2014
Greece,3.27,Bosnia & Herzegovina,2.01,4.03,2014
Belgium,3.71,FYR Macedonia,5.62,1.66,2014
Ukraine,3.22,Poland,2.13,3.69,2014
Finland,13.06,Spain,1.06,32.38,2014
Ireland,4.06,Sweden,1.51,7.13,2014
Faroe Islands,9.93,Austria,1.10,25.20,2014
Denmark,3.20,Czech Republic,2.23,3.47,2014
Romania,3.25,Hungary,2.72,2.65,2014
Montenegro,3.86,Moldova,6.42,1.57,2014
Estonia,15.73,Netherlands,1.04,35.33,2014
Azerbaijan,3.15,Luxembourg,3.53,2.22,2014
Lithuania,4.03,Slovakia,1.50,7.60,2014
Latvia,3.65,Liechtenstein,5.28,1.70,2014
Turkey,13.66,Andorra,30.43,1.06,2014
Germany,11.92,Kazakhstan,32.47,1.07,2014
Albania,4.31,Norway,1.43,8.67,2014
Serbia,3.57,Croatia,1.74,5.17,2014
Iceland,3.72,Slovenia,1.66,5.61,2014
Malta,8.22,Bulgaria,1.13,19.29,2014
Portugal,4.18,Israel,7.58,1.48,2014
New Caledonia,7.73,New Zealand,1.11,17.43,2014
Jamaica,7.16,Mexico,1.16,16.57,2014
Costa Rica,3.16,Panama,2.31,3.18,2014
USA,3.20,Honduras,2.96,2.41,2014
Azerbaijan,3.51,Northern Ireland,1.75,5.00,2014
San Marino,19.17,Montenegro,1.01,58.17,2014
Uzbekistan,3.29,Iran,1.85,4.48,2014
Lebanon,4.05,Qatar,1.45,7.69,2014
Jordan,3.29,Iraq,2.04,3.65,2014
Japan,3.95,Oman,7.55,1.47,2014
England,3.26,Poland,3.95,2.04,2014
Guyana,8.52,Costa Rica,1.09,24.21,2014
El Salvador,7.58,Mexico,1.12,16.93,2014
Argentina,3.85,Chile,5.48,1.62,2014
Antigua and Barbuda,8.33,Jamaica,1.10,20.65,2014
Guatemala,4.06,USA,1.34,13.98,2014
Peru,3.21,Paraguay,2.24,3.33,2014
Ecuador,3.24,Venezuela,2.28,3.22,2014
Uruguay,3.27,Bolivia,2.79,2.54,2014
Panama,4.57,Cuba,10.31,1.34,2014
Canada,3.51,Honduras,1.65,5.71,2014
Northern Ireland,11.00,Portugal,1.07,35.69,2014
France,4.51,Spain,1.42,7.80,2014
Slovenia,3.20,Albania,3.02,2.44,2014
Scotland,4.82,Belgium,1.36,9.30,2014
Sweden,5.69,Germany,1.28,10.61,2014
Denmark,3.79,Italy,1.59,6.31,2014
Kazakhstan,6.55,Austria,1.20,15.26,2014
Serbia,3.35,FYR Macedonia,3.99,1.97,2014
Turkey,3.30,Hungary,2.90,2.46,2014
Switzerland,3.44,Iceland,4.34,1.88,2014
Moldova,6.78,San Marino,18.93,1.17,2014
Greece,3.16,Slovakia,2.53,2.91,2014
Lithuania,6.83,Bosnia & Herzegovina,1.18,17.13,2014
Wales,5.65,Croatia,1.25,13.14,2014
Norway,3.50,Cyprus,4.28,1.87,2014
Bulgaria,3.57,Czech Republic,1.70,5.37,2014
Ireland,4.83,Faroe Islands,9.06,1.36,2014
Netherlands,3.34,Romania,4.02,1.98,2014
Montenegro,3.63,Ukraine,1.72,5.05,2014
Estonia,4.81,Andorra,10.16,1.34,2014
Liechtenstein,6.24,Latvia,1.22,14.12,2014
South Korea,3.21,Iran,2.85,2.48,2014
Georgia,3.29,Belarus,2.02,3.89,2014
Luxembourg,11.93,Israel,1.06,33.03,2014
Azerbaijan,10.92,Russia,1.09,26.10,2014
Australia,3.42,Iraq,4.42,1.83,2014
Jordan,3.11,Oman,2.42,3.02,2014
Uzbekistan,3.16,Qatar,2.87,2.49,2014
Solomon Islands,6.10,New Caledonia,1.19,10.84,2014
Tahiti,14.00,New Zealand,1.04,37.50,2014
New Zealand,6.75,Tahiti,12.90,1.18,2014
Honduras,3.18,Panama,2.08,3.74,2014
Jamaica,3.27,Guatemala,2.51,2.78,2014
Costa Rica,3.23,El Salvador,2.99,2.40,2014
Mexico,7.76,Guyana,17.37,1.13,2014
Uruguay,4.47,Argentina,1.42,7.57,2014
Cuba,7.22,Canada,1.14,16.07,2014
USA,7.38,Antigua and Barbuda,17.32,1.13,2014
Chile,3.30,Ecuador,2.06,3.57,2014
Paraguay,4.23,Colombia,1.43,8.12,2014
Peru,3.61,Bolivia,1.78,4.61,2014
San Marino,23.92,England,1.01,91.50,2014
Israel,4.43,Luxembourg,7.46,1.44,2014
Bosnia & Herzegovina,3.25,Greece,2.23,3.33,2014
Germany,4.67,Ireland,8.55,1.38,2014
Cyprus,4.34,Slovenia,1.43,8.15,2014
Scotland,3.22,Wales,2.90,2.50,2014
Hungary,3.31,Estonia,3.54,2.12,2014
Croatia,3.37,FYR Macedonia,4.74,1.83,2014
Andorra,20.58,Netherlands,1.01,79.83,2014
Belgium,3.21,Serbia,2.46,2.97,2014
Norway,3.53,Switzerland,1.73,5.12,2014
Latvia,4.54,Slovakia,1.40,8.34,2014
Spain,8.07,Belarus,16.65,1.15,2014
Denmark,3.19,Bulgaria,3.00,2.45,2014
Ukraine,4.97,Moldova,10.83,1.32,2014
Lithuania,3.65,Liechtenstein,5.67,1.66,2014
Romania,3.48,Turkey,1.76,5.00,2014
Iceland,3.36,Albania,1.96,4.00,2014
Italy,4.30,Armenia,8.48,1.43,2014
Malta,12.89,Czech Republic,1.06,35.78,2014
Sweden,10.30,Faroe Islands,27.54,1.09,2014
Austria,3.70,Kazakhstan,5.07,1.70,2014
Georgia,3.53,Finland,1.78,4.80,2014
Portugal,3.21,Russia,2.81,2.58,2014
New Caledonia,3.53,Solomon Islands,2.33,2.72,2014
New Caledonia,3.76,Tahiti,1.60,5.13,2014
Cuba,8.56,Honduras,1.11,22.52,2014
Argentina,4.04,Peru,5.93,1.58,2014
Canada,3.24,Panama,2.03,3.84,2014
Costa Rica,6.10,Mexico,1.21,13.84,2014
Jamaica,5.08,USA,1.31,9.83,2014
El Salvador,3.53,Guyana,4.09,1.87,2014
Venezuela,3.76,Paraguay,1.59,6.15,2014
Guatemala,3.88,Antigua and Barbuda,5.33,1.63,2014
Ecuador,4.32,Uruguay,1.43,8.12,2014
Colombia,3.36,Chile,2.09,3.57,2014
Azerbaijan,14.75,Portugal,1.03,35.82,2014
Ukraine,3.97,England,1.57,6.25,2014
Belarus,6.00,France,1.23,13.75,2014
FYR Macedonia,3.47,Scotland,1.78,4.90,2014
Croatia,3.31,Belgium,2.15,3.52,2014
Lithuania,4.73,Greece,1.36,9.70,2014
Malta,16.24,Italy,1.02,46.89,2014
Luxembourg,4.66,Northern Ireland,1.37,9.33,2014
Moldova,6.81,Poland,1.17,19.06,2014
Germany,4.79,Austria,6.66,1.45,2014
Netherlands,4.00,Hungary,5.43,1.62,2014
Montenegro,15.15,San Marino,34.32,1.03,2014
Wales,4.08,Serbia,1.47,7.87,2014
Kazakhstan,10.61,Sweden,1.07,24.20,2014
Albania,5.01,Switzerland,1.32,10.57,2014
Liechtenstein,12.94,Slovakia,1.05,29.74,2014
Latvia,6.29,Bosnia & Herzegovina,1.22,13.20,2014
Armenia,3.60,Bulgaria,1.75,5.02,2014
Slovenia,3.55,Norway,1.81,4.60,2014
Estonia,6.43,Turkey,1.21,13.95,2014
Spain,8.80,Georgia,22.03,1.12,2014
Andorra,18.15,Romania,1.01,47.36,2014
Iceland,3.24,Cyprus,2.54,2.86,2014
Russia,3.32,Israel,3.90,2.02,2014
Australia,3.68,Jordan,6.48,1.57,2014
Iran,4.50,Lebanon,8.49,1.39,2014
South Korea,3.40,Uzbekistan,3.94,1.94,2014
